Palavra,Polaridade
contrair-se,-1
contranaturo,-1
contrapor,1
contrariado,-1
contrariar,1
contristação,-1
contristado,-1
contrito,-1
controlado,1
controlador,-1
controlar,1
controvérsia,-1
controverso,-1
controvertido,-1
contumaz,-1
contundência,-1
contundente,-1
contundido,-1
contuso,-1
conversa fiada,1
convicção,1
convidativo,1
convincente,1
convivente,1
convulsivo,-1
cooperador,1
cooperante,1
coquete,-1
coragem,1
corajoso,1
corcovado,-1
corcunda,-1
cordato,1
cordial,1
cordialidade,1
cornudo,-1
cornuto,-1
correção,1
correcção,1
correcto,1
correr a toque de caixa,-1
correto,1
corrido,-1
corrigir,1
corriqueiro,-1
corroer-se,-1
corroer,-1
corromper,-1
corrompido,-1
corrosivo,-1
corrupção,-1
corruptível,-1
corruptivo,-1
corrupto,-1
corruptor,-1
cortado,-1
cortar na casaca de,-1
cortar o pio a,1
cortês,1
cortesão,1
cortesia,1
coscuvilheiro,-1
cosmopolita,1
cosmopolítico,1
cotado,1
covarde,-1
covardia,-1
coveiro,-1
coxo,-1
crápula,-1
crapuloso,-1
craque,1
crasso,-1
credibilidade,1
credível,1
crescido,1
cretinice,-1
cretinismo,-1
cretino,-1
cretinóide,-1
criancice,-1
criatividade,1
criativo,1
criminalidade,-1
criminoso,-1
crisólogo,1
crisóstomo,1
crispação,-1
crispado,-1
crispar-se,-1
crispar,1
cristalino,1
criterioso,1
criticável,-1
crivado,-1
crível,1
cromo,-1
cru,-1
crucificador,-1
crucificar,1
cruel,-1
crueldade ,-1
crueza,-1
cruzar os braços,-1
cuidado,1
cuidadoso,1
culpa,-1
culpado,-1
culpas,-1
culposo,-1
cultivado,1
culto,1
cultura democrática,1
cumpridor,1
curado,1
curial,1
curtido,1
curto de vistas,-1
curvado,-1
curvar-se,-1
curvilíneo,-1
curvo,-1
cuspido,-1
dadivoso,1
daltónico,-1
danado,-1
danificado,-1
danoso,-1
dar à língua,-1
dar à sola,-1
dar à soleta,-1
dar a volta ao miolo,-1
dar alegrias a,1
dar ao pé,-1
dar bandeira,-1
dar barraca,-1
dar cabo da vida a,-1
dar cabo de,1
dar com a boca no trombone,-1
dar com a língua nos dentes,-1
dar com os burros na água,-1
dar com os pés a,-1
dar conta do recado,1
dar de frosques,-1
dar graxa a,-1
dar no duro,1
dar o corpo ao manifesto,-1
dar o dito por não dito,-1
dar o golpe a,-1
dar o golpe do baú,-1
dar o litro,1
dar o primeiro passo,1
dar palmadinhas nas costas a,-1
dar pontapés na gramática,-1
dar tiros nos pés,-1
dar um baile a,1
dar um banho a,1
dar um banho de cultura a,1
dar um pontapé no cu a,-1
dar um show de bola,1
dar um tiro no pé,-1
dar uma banhada a,1
dar uma coça a,1
dar uma lição a,1
dar uma lição de moral a,1
dar uma malha a,1
dar uma mãozinha a,1
dar uma no cravo e outra na ferradura,-1
dar uma surra a,1
dar voltas no caixão,-1
dávida,1
deambulação,-1
deambulante,-1
deambular,-1
debandado,-1
débil,-1
debilidade,-1
debilitação,-1
debilitado,-1
debilitar,1
debochado,-1
deboche,-1
decadência,-1
decadente,-1
decadentista,-1
decaído,-1
decapitar,1
decência,1
decente,1
decepado,-1
decepar,1
decepção,-1
decepcionado,-1
decepcionante,-1
decepcionar,-1
decidido,1
decoro,1
decoroso,1
decrepidez,-1
decrépito,-1
dedicação,1
dedicado,1
defeituoso,-1
defensiva,-1
defensor,1
deferente,1
deferido,1
defesso,-1
deficiente,-1
definhado,-1
definhamento,-1
deformação,-1
deformado,-1
defraudar as expectativas de,-1
